,timetweet,favcount,retwcount,id,name,text_clean,text_preprocessed,polarity_score,polarity
0,2022-10-21 13:05:35,0,143,1583444387497140225,CutSarina5,rencana pemerintah mementuk satgas digital mendapat sorotan dari para pegiat demokrasinnada kecurigaan ahwa satgas yangxexxa,"['rencana', 'perintah', 'mementuk', 'satgas', 'digital', 'sorot', 'giat', 'demokrasinnada', 'curiga', 'ahwa', 'satgas', 'yangxexxa']",-5,negative
2,2022-10-21 13:04:33,0,9,1583444126124904449,provjateng,yaaak tinggal menghitung hari nih soropadan agro festival  akan digelar tanggal  oktoer  di agro centxexxa,"['yaaak', 'tinggal', 'hitung', 'nih', 'soropadan', 'agro', 'festival', 'gelar', 'tanggal', 'oktoer', 'agro', 'centxexxa']",-3,negative
4,2022-10-21 13:01:45,0,0,1583443420286107649,kominfomagetan1,umkm dan usaha kecil semakin menggeliat di pasar rakyat magetan dan geyar harixcxasantri,"['umkm', 'usaha', 'geliat', 'pasar', 'rakyat', 'magetan', 'geyar', 'harixcxasantri']",-6,negative
7,2022-10-21 12:47:45,0,0,1583439898983665665,bpjkalongan,sahaat npekerjaan pemeliharaan rutin ruas randudongkal  mogann n n njtg,"['sahaat', 'npekerjaan', 'pelihara', 'rutin', 'ruas', 'randudongkal', 'mogann', 'n', 'n', 'njtg']",3,positive
8,2022-10-21 12:47:45,0,0,1583439897075290114,bpjkalongan,sahaat npekerjaan pemeliharaan rutin ruas kesesi  antarolangnn n n njtg,"['sahaat', 'npekerjaan', 'pelihara', 'rutin', 'ruas', 'sesi', 'antarolangnn', 'n', 'n', 'njtg']",3,positive
10,2022-10-21 12:47:44,0,0,1583439896500654081,bpjkalongan,sahaat npekerjaan pemeliharaan rutin ruas pemalang  randudongkal nn n n njtg,"['sahaat', 'npekerjaan', 'pelihara', 'rutin', 'ruas', 'malang', 'randudongkal', 'nn', 'n', 'n', 'njtg']",-2,negative
15,2022-10-21 12:44:07,2,0,1583438983828484096,liputan6dotcom,kejagung segera gelar perkara dugaan korupsi proyek ts kominfo senilai triliunan rupiah,"['jagung', 'gelar', 'perkara', 'duga', 'korupsi', 'proyek', 'ts', 'kominfo', 'nila', 'triliun', 'rupiah']",-2,negative
17,2022-10-21 12:42:20,0,0,1583438537818800128,bpjkalongan,sahaat npekerjaan pemeliharaan rutin ruas wiradesa  kalieningnn n n njtg,"['sahaat', 'npekerjaan', 'pelihara', 'rutin', 'ruas', 'wiradesa', 'kalieningnn', 'n', 'n', 'njtg']",3,positive
27,2022-10-21 12:30:54,0,0,1583435657434669056,cenderoeng,coa investigasi kominfo jgn mereka terliat xfxfxax,"['coa', 'investigasi', 'kominfo', 'jgn', 'liat', 'xfxfxax']",1,positive
29,2022-10-21 12:23:03,0,0,1583433684639952898,RakaPradika_,arek tag kominfo apa iwan ule yeh aeh yakin eta lain editan,"['arek', 'tag', 'kominfo', 'iwan', 'ule', 'yeh', 'aeh', 'eta', 'edit']",0,neutral
34,2022-10-21 12:06:26,0,0,1583429503262433280,cheatzxin,eneran kan ya pak takutnya apak ikut golok kek si kominfo plate xfxfxx,"['eneran', 'ya', 'takut', 'apak', 'golok', 'kek', 'si', 'kominfo', 'plate', 'xfxfxx']",1,positive
35,2022-10-21 12:04:15,0,0,1583428950935580672,datagodatago,sahaat datannang data menerima kunjungan dari appeda ps dan dinas kominfo kaupaten demaknnkunjungan dikaitkan dengan studi anding implementasi satu data kota magelang dan percepatan satu data demaknnterima kasih demak,"['sahaat', 'datannang', 'data', 'terima', 'kunjung', 'appeda', 'ps', 'dinas', 'kominfo', 'paten', 'demaknnkunjungan', 'kait', 'studi', 'anding', 'implementasi', 'data', 'kota', 'magelang', 'cepat', 'data', 'demaknnterima', 'kasih', 'demak']",-6,negative
36,2022-10-21 12:03:56,0,2,1583428871172431872,kirarachelsea,kepala pusat pengemangan profesi dan sertifikasi adan penelitian dan pengemangan sumer daya manusia kementerian kominfoxexxa,"['kepala', 'pusat', 'emang', 'profesi', 'sertifikasi', 'adan', 'teliti', 'emang', 'sumer', 'daya', 'manusia', 'menteri', 'kominfoxexxa']",6,positive
37,2022-10-21 12:02:55,0,1,1583428616112656386,CryptoKuta,ersama kementerian komunikasi dan informatika repulik indonesia  sertaxcxawir groupxcxaakan hadirkanxcxametaversexcxadixcxaktt gxcxadi axexxa,"['ersama', 'menteri', 'komunikasi', 'informatika', 'repulik', 'indonesia', 'sertaxcxawir', 'groupxcxaakan', 'hadirkanxcxametaversexcxadixcxaktt', 'gxcxadi', 'axexxa']",-2,negative
38,2022-10-21 12:02:47,3,1,1583428583745200128,CryptoKuta,ersama kementerian komunikasi dan informatika repulik indonesia  sertaxcxawir groupxcxaakan hadirkanxcxametaversexcxadixcxaktt gxcxadi alinekseisi metaverse yang dihadirkan oleh metakominfo dan wir groupmenunjukan sisi dua pilarnnkereeeeennnennnn,"['ersama', 'menteri', 'komunikasi', 'informatika', 'repulik', 'indonesia', 'sertaxcxawir', 'groupxcxaakan', 'hadirkanxcxametaversexcxadixcxaktt', 'gxcxadi', 'alinekseisi', 'metaverse', 'hadir', 'metakominfo', 'wir', 'groupmenunjukan', 'sisi', 'pilarnnkereeeeennnennnn']",-3,negative
39,2022-10-21 12:00:39,1,0,1583428047302033408,kominfomagetan1,update peta searan covid per  oktoer  pukul xcxawi,"['update', 'peta', 'searan', 'covid', 'oktoer', 'xcxawi']",0,neutral
40,2022-10-21 12:00:39,0,0,1583428044424765440,EfendiEi,kominfo dan sierkreasi gelar weinar literasi digital di sumatra xfxfxxaxfxfxxaxfxfxxann n,"['kominfo', 'sierkreasi', 'gelar', 'weinar', 'literasi', 'digital', 'sumatra', 'xfxfxxaxfxfxxaxfxfxxann', 'n']",2,positive
42,2022-10-21 11:57:01,0,0,1583427132369211392,EfendiEi,uka peluang kerja lulusan program dts kominfo gelar ootcamp xfxfxxdnn,"['uka', 'peluang', 'kerja', 'lulus', 'program', 'dts', 'kominfo', 'gelar', 'ootcamp', 'xfxfxxdnn']",9,positive
44,2022-10-21 11:56:21,4,2,1583426964664115200,CryptoKuta,kepala pusat pengemangan profesi dan sertifikasi adan penelitian dan pengemangan sumer daya manusia kementerian kominfo hedi m idris nnootcamp ini pertama kali dilakukan untuk menghuungkan peserta agar isa langsung ekerja di industrinn,"['kepala', 'pusat', 'emang', 'profesi', 'sertifikasi', 'adan', 'teliti', 'emang', 'sumer', 'daya', 'manusia', 'menteri', 'kominfo', 'hedi', 'm', 'idris', 'nnootcamp', 'kali', 'menghuungkan', 'serta', 'isa', 'langsung', 'ekerja', 'industrinn']",11,positive
45,2022-10-21 11:55:51,0,0,1583426838978007040,_rakyatmerdeka,literasi digital kominfonikin konten harus perhatikan uu itenn,"['literasi', 'digital', 'kominfonikin', 'konten', 'perhati', 'uu', 'itenn']",0,neutral
46,2022-10-21 11:54:28,2,0,1583426489567285249,DTS_kominfo,kamu isa melihat seluruh akademi yang tersedia eserta tema pelatihannya dengan langsung mengunjugi    nndaftar sekarang juga yann,"['isa', 'akademi', 'sedia', 'eserta', 'tema', 'latih', 'langsung', 'mengunjugi', 'nndaftar', 'yann']",6,positive
47,2022-10-21 11:54:13,0,0,1583426426027462656,HimapentikaUNRI,sd selesai di ruangan fnnhimapentika dihatiku xexdxaxefxxfnkenapa kita disini karena kita keluargannnnnnmemerikan yang teraik dengan cara teraik dan enarnnupmaraihan madya fitranwaupmanofri naldi,"['sd', 'selesai', 'ruang', 'fnnhimapentika', 'hati', 'xexdxaxefxxfnkenapa', 'keluargannnnnnmemerikan', 'teraik', 'teraik', 'enarnnupmaraihan', 'madya', 'fitranwaupmanofri', 'naldi']",-5,negative
48,2022-10-21 11:54:12,0,0,1583426423032668161,HimapentikaUNRI,himapentika  update  upgrading khusus divisi kominfonnassalamualaikum warahmatullahi waarakatuh nhidup mahasiswansalam pendidikan jayalahnnsedang erlangsung upgrading khusus yang ditaja divisi kominfo dan diikuti oleh anggota divisi ayangan kominfo pada pukul,"['himapentika', 'update', 'upgrading', 'khusus', 'divisi', 'kominfonnassalamualaikum', 'warahmatullahi', 'waarakatuh', 'nhidup', 'mahasiswansalam', 'didik', 'jayalahnnsedang', 'erlangsung', 'upgrading', 'khusus', 'taja', 'divisi', 'kominfo', 'ikut', 'anggota', 'divisi', 'ayangan', 'kominfo']",-6,negative
49,2022-10-21 11:51:37,6,0,1583425772890386432,literarybase,lt cara sign up app ruang uku kominfo gimana ya aku mau ikin akun ngga isa lewat aplikasi makasih xfxfxxxfxfxxf,"['lt', 'sign', 'up', 'app', 'ruang', 'uku', 'kominfo', 'gimana', 'ya', 'ikin', 'akun', 'ngga', 'isa', 'aplikasi', 'makasih', 'xfxfxxxfxfxxf']",-1,negative
51,2022-10-21 11:49:18,0,1,1583425188762304512,CryptoKuta,penelitian dan pengemangan sdm kemkominfohary udiarto nnxexxcsaat ini pemerintah sedang memangun infrastruktur melengkapixexxa,"['teliti', 'emang', 'sdm', 'kemkominfohary', 'udiarto', 'nnxexxcsaat', 'perintah', 'mangun', 'infrastruktur', 'melengkapixexxa']",0,neutral
52,2022-10-21 11:49:13,3,1,1583425169468448770,CryptoKuta,penelitian dan pengemangan sdm kemkominfohary udiarto nnxexxcsaat ini pemerintah sedang memangun infrastruktur melengkapi infrastruktur telekomunikasidan  ts yang harus diangun dan di setiap desa itu harus adaxexxdnn  nn,"['teliti', 'emang', 'sdm', 'kemkominfohary', 'udiarto', 'nnxexxcsaat', 'perintah', 'mangun', 'infrastruktur', 'lengkap', 'infrastruktur', 'telekomunikasidan', 'ts', 'diangun', 'desa', 'adaxexxdnn', 'nn']",-1,negative
